Factitious 	 অস্বাভাবিক; কৃত্রিম; Sham; artificial
Connoisseur 	 an expert able to appreciate a field; especially in the fine arts; প্রধানত চারুকলা বিষয়ে রসজ্ঞ, সমঝদার; পন্ডিত বিচারক
Vigil 	 Wakeful watching; পাহারা দেওয়া বা প্রার্থনার জন্য রাত্রি জাগরণ
Divulge 	 Disclose, reveal; গোপন কথা ফাঁস করা
Antiquated 	 Out-of-date, obsolete
Disheveled 	 Disorderly clothing or hair, আলুথালু
Tenacious 	 Tough, stubborn; শক্ত করে আঁকড়ে রাখে এমন; নাছোড়বান্দা; ধৈর্যশীল
Asinine 	 extremely stupid or foolish.
Grimace 	 an ugly, twisted expression on a person's face, typically expressing disgust, pain, or wry amusement.
Calumny 	 False accusation, slander; কারো চরিত্র হননের জন্য প্রদত্ত মিথ্যা বিবৃতি; অপবাদ
Pittance 	 Small amount; an inadequate payment; অত্যল্প বা অপর্যাপ্ত পারিশ্রমিক বা ভাতা
Au courant 	 Up to date, aware of what is going on; well informed.
Noisome 	 Foul; (বিশেষত গন্ধ সম্বন্ধে) পীড়াদায়ক, কদর্য
Whimsical 	 marked by whim or caprice; Erratic in behavior or degree of unpredictability; বাতিকগ্রস্ত; খেয়ালি; অদ্ভুত
Lampoon 	 Ridicule; কাউকে তীব্রভাবে ব্যঙ্গ করে রচিত কোনো রচনা
Countenance 	 1. a person's face or facial expression 2. support or approval.
Sanctimonious 	 Hypocritically religious; hypocritically pious; লোকদেখানো ধার্মিক
Equanimity 	 Calmness, self-control
Effrontery 	 shameless boldness; barefaced audacity; ঔদ্ধত্য; নির্লজ্জসাহস
Nonentity 	 1. a person or thing with no special or interesting qualities; an unimportant person or thing 2. non-existence
Flabbergast 	 Astonish; বিস্ময়ে অভিভূত করা; হতভম্ব করা
Debacle 	 Ruin, collapse; ধ্বংস; মহাদুর্যোগ; সম্পূর্ণ পতন; সম্পূর্ণ পরাজয়
Vivacious 	 Lively, gay; প্রাণবন্ত; প্রাণোচ্ছল; প্রাণচঞ্চল
Gaunt 	 Thin, haggard (ব্যক্তি সম্বন্ধে) রোগা; কৃশ; (স্থান সম্বন্ধে) কঠিন; ঊষর; জনশূন্য
Mien 	 Appearance, bearing; চেহারা; ভাবভঙ্গি; আচার-আচরণ
Hirsute 	 Hairy; লোমশ
Refute 	 Prove wrong or false; অসত্য বা অমূলক বলে প্রতিপন্ন করা; কাউকে ভ্রান্ত প্রমান করা
Pensive 	 Thoughtful, reflective; চিন্তামগ্ন; গভীর ভাবনায় নিমগ্ন; বিষণ্ণ
Stupor 	 Daze, insensible condition; আঘাত, মাদকদ্রব্য, সুরা ইত্যাদি জনিত প্রায় সংজ্ঞাহীন অবস্থা
Wince 	 ব্যাথায় কুঁচকে উঠা বা যাওয়া; আঘাতে বা অপমানে সঙ্কুচিত হওয়া
Cliche 	 A commonplace phrase; সস্তা বা গতানুগতিক পদসমষ্টি
Unsavory 	 Disagreeable, offensive, morally bad
Venial 	 Pardonable, forgivable; (পাপ, ভুল ত্রুটি সম্বন্ধে) মার্জনীয়
Epitome 	 1 A representative (Person or thing) or perfect example of a class or type 2 A brief summary, as of a book or article
Grotesque 	 distorted and unnatural in shape or size; abnormal and hideous; ludicrously odd; অসামঞ্জস্য; অদ্ভুত ও সামঞ্জস্যহীন বলেই হাস্যকর
Compassion 	 Sympathetic feeling, kindness; সমবেদনা; করুণা
Repugnant 	 Distasteful, repulsive; বিস্বাদ; অপছন্দনীয়
Copious 	 Ample, abundant, plentiful; প্রাচুর্যপূর্ণ; (লেখক সম্পর্কে) প্রচুর লেখেন এমন
Vehemently 	 Violently, eagerly, passionately
Depict 	 Describe clearly, picture, portray, চিত্রিত বা বর্ণনা বা অঙ্কন করা
Perfidious 	 deliberately faithless; Treacherous, deceitful; বিশ্বাসঘাতক
Halcyon 	 Peaceful, calm; শান্ত; দুর্যোগহীন
tirade 	 bitter, abusive criticism or a verbal attack
wizened 	 lean and wrinkled by shrinkage as from age or illness

Prerogative 	 An exculsive right or power; someone's special right or privilege
Dupe 	 (n) যে প্রতারিত হয়; A person easily tricked; 
(v) প্রতারনা করা; বোকা বানানো
Acrimonious 	 (typically of speech or discussion) angry and bitter.
Skirmish 	 Small fight, brief encounter ( it can refer to a physical fight or just a battle of words)
Fray 	 (n) A fight; প্রতিদ্বন্দিতা; দ্বন্দ্ব 
(v) (কাপড়, দড়ি ইত্যাদি সম্বন্ধে) ঘষে ঘষে ক্ষয় করে ফেলা বা ক্ষয় হওয়া
Fretful 	 feeling or expressing distress or irritation, অস্থির
Histrionics 	 1. melodramatic behaviour designed to attract attention. 2. theatrical performances
Phlegmatic 	 Calm; hard to rouse to action; showing little emotion
Conjecture 	 Guess; surmise; অনুমান;
Abrogate 	 Abolish; ক্ষমতাবলে বাতিল, রদ বা স্থগিত করা
Alleged 	 Reported, supposed; doubtful or suspect; অভিযোগ করা; সপক্ষে বা বিপক্ষে যুক্তি দেখানো
Temerity 	 excessive confidence or boldness; audacity; Foolish boldness or bravery; reckless boldness; rashness; দুঃসাহস; অসমসাহস
Romp 	 (especially of a child or animal) play roughly and energetically; To move in a lively manner
Tortuous 	 Winding; আকাবাঁকা; প্যাঁচান; জটিল
Blunt 	 Plain spoken; 1. ভোঁতা 2. স্পষ্টবাদী ৩ নীরস; স্থুলবুদ্ধি; কাঠখোট্টা
Ascetic 	 One who practices self-denial and devotion; আত্মনিরোধী; কঠোর তপশ্চর্যাপূর্ন
Palliate 	 Alleviate, relieve without curing; (রোগ, বেদনা) প্রশমন করা; (অপরাধ ইত্যাদির) গুরুত্ব লাঘব করা
Prelude 	 introductory action, event or performance that comes before a bigger or more momentous one; কোনো কাজ, ঘটনা ইত্যাদির উপক্রমনিকাস্বরূপ অন্য কোনো কাজ, ঘটনা ইত্যাদি; প্রস্তাবনা; পূর্বসূচক; সূচনা
Susceptible 	 Easily affected, unusually liable; অনুভূতির দ্বারা সহজে প্রভাবিত হয় এমন
Conflagration 	 Great fire
Evince 	 show or express clearly; সন্দেহাতীতভাবে প্রমাণ করা
Pungent 	 a taste or smell that gives a sharp sensation; Sharply stimulating, biting
Invective 	 Insulting, abusive speech; নিন্দাবাক্য; তিরস্কারপূর্ণ ভাষা
Disgruntled 	 Unhappy, displeased; অসন্তুষ্ট; হতাশ;
Equanimity 	 mental or emotional stability or composure, especially under tension or strain; calmness; equilibrium; মন-মেজাজের প্রশান্তি
Serenity 	 the state or quality of being calm, tranquil or serene; Peaceful repose; প্রশান্তি
Nadir 	 Lowest point; নিম্নতম বিন্দু; চরম দুরবস্থা
Gusto 	 do something with great enthusiasm; Enthusiasm; enjoyment; zest
Garrulous 	 Talkative, wordy; বাচাল
Dilettante 	 One who has great interest, but little knowledge; কাব্য বা সঙ্গীত ইত্যাদির অনুরাগী কিন্তু এসব বিষয়ে অগভীর জ্ঞানসম্পন্ন বা এসব ব্যাপারে যথেষ্ট অভিনিবেশ নেই এমন ব্যাক্তি
Atypical 	 not representative of a group, class, or type; Nonconforming; প্রতিনিধিত্ব করে না এমন; অপ্রতিরূপক
Galvanize 	 1. ধাতুর প্রলেপ দেওয়া 2. Excite or arouse to activity; কাউকে কিছু করতে উদ্দীপ্ত করা; ঘা মেরে কিছু করানো
Gaudy 	 Showy, flashy; জমকালো; রুচিহীনভাবে চকচকে
Candor 	 Frankness, honesty; অকপটতা; সারল্য; স্পষ্টবাদিতা
Omnipotent 	 Almighty, unlimited in power or authority; সর্বশক্তিমান
Fledgling 	 Little known, newly developed; মাত্র উড়তে শিখেছে এমন পাখি; তরুণ অনভিজ্ঞ লোক
Wheedle 	 Coax, persuade, cajole; মিষ্টি কথায় ভুলিয়ে কোনো কিছু আদায় করা
attenuated 	 decreased; weakened; thinned; কৃশ বা শীর্ণ করা; লঘু বা লাঘব করা
concomitant 	 (adj) Occurring or existing concurrently; attendant; সহগামী বা আনুষঙ্গিক; সহবিদ্যমান; (n) One that occurs or exists concurrently with another; সঙ্গী বা আনুষঙ্গিক বস্তু; সহবিদ্যমান ব্যক্তি বা বস্তু
deleterious 	 harmful, bad; ক্ষতিকর; ক্ষতিকারক; অপকারক
efficacy 	 power to produce an effect; ফলপ্রসূতা
ferment 	 1. cause to undergo fermentation 2. agitation, turmoil, uproar; সামাজিক; রাজনৈতিক উত্তেজনা ও আন্দলনের অবস্থা
heresy 	 lack of faith, dissent, unbelief; প্রচলিত মতের বিরুদ্ধে বিশ্বাস (বিশেষত ধর্ম বিশ্বাস)
incumbent 	 1. currently holding an office; কোনো পদে অধিষ্ঠিত ব্যক্তি; পদধিকারী 2. necessary (for someone) as a duty or responsibility; morally binding;  দায়িত্ব, অবশ্য কর্তব্য;
innocuous 	 mild; not harmful or injurious; harmless;
propagate 	 1. breed specimens of (a plant or animal) by natural processes স্বাভাবিক প্রক্রিয়ায় (উদ্ভিদ, প্রাণী, ব্যাধি ইত্যাদি) সংখ্যাবৃদ্ধি করা; বংশবৃদ্ধি বা বিস্তার করা 2. spread and promote (an idea, theory, etc.) widely. ব্যাপকভাবে প্রচার করা; বিস্তার করা
prudent 	 cautious, wise; সর্তক; বিচক্ষণ; দূরদর্শী; সুবিবেচক
Paltry 	 Of little importance, insignificant; তুচ্ছ; নগন্য; অবজ্ঞা করা যায় এমন
Succinct 	 Brief, concise; সংক্ষেপে স্পষ্টভাবে প্রকাশিত
Archaic 	 Out of date; (কোনো ভাষার বিশেষ কোনো শব্দ সম্বন্ধে) বিশেষ ক্ষেত্র বা উদ্দেশ্য ছাড়া এখন আর ব্যবহৃত হয় না এমন; প্রাচীন; সেকেলে
Rabid 	 1. জলাতঙ্কগ্রস্ত (for dog)  2. ক্রুদ্ধ; অন্ধ আবেগে ক্ষিপ্তবৎ marked by excessive enthusiasm for and intense devotion to a cause or idea
Complacent 	 Self-satisfied; pleased, especially with oneself or one's merits, advantages, situation, etc., often without awareness of some potential danger or defect
buttress 	 support or encourage (verb); a support or prop esp. projecting from and supporting the wall of a building (noun)
